category,technology,primary_role,local_status,fit_score_5,mvp_decision,license_or_cost,reason,official_source
configuration,Pydantic,validated configuration,installed,5,adopt,MIT,Typed validation is appropriate for schemas and experiment configuration.,https://docs.pydantic.dev/latest/
configuration,YAML plus TOML,human configuration and project metadata,available,5,adopt,format standards,Use YAML for experiments and TOML for package/tool configuration; validate before execution.,https://yaml.org/spec/
configuration,Hydra,configuration composition,comparison_only,2,defer,MIT,Composition and sweep machinery are useful at larger scale but obscure configuration provenance for the initial solo stack.,https://hydra.cc/docs/intro/
tracking,MLflow plus SQLite,optional experiment index and UI,official_research_only,3,defer_until_run_volume,Apache-2.0,Filesystem run manifests remain authoritative; add MLflow when search and comparison friction is measured.,https://mlflow.org/docs/latest/ml/tracking/tutorials/local-database/
tracking,Lightweight manifests,data and benchmark provenance,tested,5,adopt,project-owned,Checksums versions seeds and paths remain readable and tool independent.,RESEARCH/prototypes/common/benchmark_utils.py
tracking,DVC,data version orchestration,comparison_only,3,defer,Apache-2.0,Useful when remote artifacts and multiple collaborators appear; local immutable manifests are sufficient now.,https://dvc.org/doc
tracking,W&B/Aim/ClearML,hosted or self-hosted experiment UI,comparison_only,2,defer,mixed,Adds service and lock-in surface before experiment volume warrants it.,https://docs.wandb.ai/
reporting,Plotly,interactive charts,installed,5,adopt,MIT,Strong interactive research reporting and HTML export.,https://plotly.com/python/
reporting,matplotlib,static publication plots,installed,5,adopt,PSF-based,Stable dependency-light static output for reports and tests.,https://matplotlib.org/stable/
reporting,QuantStats,portfolio tear sheets,comparison_only,3,optional,BSD-3-Clause,Useful presentation layer after returns are independently verified; never the accounting source of truth.,https://github.com/ranaroussi/quantstats
